ptp4l[7346717.248]: selected /dev/ptp1 as PTP clock
ptp4l[7346717.249]: port 1: INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[7346717.249]: port 0: INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[7346718.368]: port 1: new foreign master 507c6f.fffe.15e1cf-1
ptp4l[7346722.368]: selected best master clock 507c6f.fffe.15e1cf
ptp4l[7346722.368]: port 1: LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[7346899.368]: master offset         -4 s2 freq   +6359 path delay      2678
ptp4l[7346900.368]: master offset          4 s2 freq   +6366 path delay      2678
ptp4l[7346901.368]: master offset         -1 s2 freq   +6362 path delay      2678
ptp4l[7346902.368]: master offset         -4 s2 freq   +6359 path delay      2678
ptp4l[7346903.368]: master offset          6 s2 freq   +6368 path delay      2678
ptp4l[7346904.368]: master offset        -18 s2 freq   +6345 path delay      2678
ptp4l[7346905.368]: master offset         -3 s2 freq   +6355 path delay      2678
ptp4l[7346906.368]: master offset          2 s2 freq   +6359 path delay      2678
ptp4l[7346907.368]: master offset          3 s2 freq   +6361 path delay      2678
ptp4l[7346908.369]: master offset         -7 s2 freq   +6352 path delay      2678
ptp4l[7346909.368]: master offset          4 s2 freq   +6360 path delay      2678
ptp4l[7346910.368]: master offset         -7 s2 freq   +6351 path delay      2678
ptp4l[7346911.368]: master offset         -5 s2 freq   +6351 path delay      2678
ptp4l[7346912.368]: master offset        -11 s2 freq   +6343 path delay      2677
ptp4l[7346913.368]: master offset         14 s2 freq   +6365 path delay      2677
ptp4l[7346914.368]: master offset         -7 s2 freq   +6348 path delay      2677
ptp4l[7346915.368]: master offset         -2 s2 freq   +6351 path delay      2677
ptp4l[7346916.368]: master offset         14 s2 freq   +6366 path delay      2677
ptp4l[7346917.368]: master offset        -16 s2 freq   +6340 path delay      2677
ptp4l[7346918.368]: master offset         12 s2 freq   +6364 path delay      2676
ptp4l[7346919.368]: master offset          1 s2 freq   +6356 path delay      2676
ptp4l[7346920.368]: master offset         13 s2 freq   +6369 path delay      2676
ptp4l[7346921.368]: master offset         -4 s2 freq   +6355 path delay      2676
ptp4l[7346922.368]: master offset          8 s2 freq   +6366 path delay      2676
ptp4l[7346923.368]: master offset          1 s2 freq   +6362 path delay      2679
ptp4l[7346924.368]: master offset        -20 s2 freq   +6341 path delay      2680
ptp4l[7346925.368]: master offset         16 s2 freq   +6371 path delay      2679
ptp4l[7346926.368]: master offset          6 s2 freq   +6366 path delay      2678
ptp4l[7346927.368]: master offset          0 s2 freq   +6362 path delay      2679
ptp4l[7346928.368]: master offset          6 s2 freq   +6368 path delay      2679
ptp4l[7346929.368]: master offset         -2 s2 freq   +6361 path delay      2679
ptp4l[7346930.368]: master offset        -11 s2 freq   +6352 path delay      2679
ptp4l[7346931.368]: master offset          7 s2 freq   +6366 path delay      2679
ptp4l[7346932.368]: master offset         -2 s2 freq   +6360 path delay      2680
ptp4l[7346933.368]: master offset        -10 s2 freq   +6351 path delay      2680
ptp4l[7346934.368]: master offset         16 s2 freq   +6374 path delay      2679
ptp4l[7346935.368]: master offset         10 s2 freq   +6373 path delay      2679
ptp4l[7346936.368]: master offset        -19 s2 freq   +6347 path delay      2679
ptp4l[7346937.368]: master offset          4 s2 freq   +6364 path delay      2679
ptp4l[7346938.368]: master offset         -2 s2 freq   +6359 path delay      2679
ptp4l[7346939.368]: master offset         -7 s2 freq   +6354 path delay      2677
ptp4l[7346940.368]: master offset          7 s2 freq   +6366 path delay      2677
ptp4l[7346941.368]: master offset          8 s2 freq   +6369 path delay      2679
ptp4l[7346942.368]: master offset        -17 s2 freq   +6346 path delay      2679
ptp4l[7346943.368]: master offset         -3 s2 freq   +6355 path delay      2679
ptp4l[7346944.368]: master offset          9 s2 freq   +6366 path delay      2679
ptp4l[7346945.368]: master offset          4 s2 freq   +6364 path delay      2679
ptp4l[7346946.368]: master offset         -1 s2 freq   +6360 path delay      2680
ptp4l[7346947.368]: master offset         -9 s2 freq   +6352 path delay      2680
ptp4l[7346948.368]: master offset          7 s2 freq   +6365 path delay      2680
ptp4l[7346949.368]: master offset         11 s2 freq   +6371 path delay      2679
ptp4l[7346950.368]: master offset          8 s2 freq   +6371 path delay      2679
ptp4l[7346951.368]: master offset         -2 s2 freq   +6364 path delay      2679
ptp4l[7346952.369]: master offset          0 s2 freq   +6365 path delay      2679
ptp4l[7346953.368]: master offset        -13 s2 freq   +6352 path delay      2680
ptp4l[7346954.369]: master offset        -14 s2 freq   +6347 path delay      2680
ptp4l[7346955.368]: master offset         10 s2 freq   +6367 path delay      2678
ptp4l[7346956.368]: master offset         11 s2 freq   +6371 path delay      2677
ptp4l[7346957.368]: master offset          0 s2 freq   +6363 path delay      2679
ptp4l[7346958.368]: master offset         -7 s2 freq   +6356 path delay      2680
ptp4l[7346959.368]: master offset        -19 s2 freq   +6342 path delay      2680
ptp4l[7346960.368]: master offset          9 s2 freq   +6365 path delay      2678
ptp4l[7346961.368]: master offset         -3 s2 freq   +6355 path delay      2678
ptp4l[7346962.368]: master offset         -7 s2 freq   +6350 path delay      2678
ptp4l[7346963.368]: master offset          3 s2 freq   +6358 path delay      2678
ptp4l[7346964.368]: master offset         -5 s2 freq   +6351 path delay      2679
ptp4l[7346965.368]: master offset         -4 s2 freq   +6351 path delay      2679
ptp4l[7346966.368]: master offset         -4 s2 freq   +6349 path delay      2680
ptp4l[7346967.368]: master offset          7 s2 freq   +6359 path delay      2679
ptp4l[7346968.368]: master offset         -8 s2 freq   +6346 path delay      2679
ptp4l[7346969.368]: master offset        -10 s2 freq   +6342 path delay      2679
ptp4l[7346970.368]: master offset          1 s2 freq   +6350 path delay      2677
ptp4l[7346971.368]: master offset          4 s2 freq   +6353 path delay      2677
ptp4l[7346972.368]: master offset          4 s2 freq   +6354 path delay      2676
ptp4l[7346973.368]: master offset         -8 s2 freq   +6344 path delay      2677
ptp4l[7346974.368]: master offset          8 s2 freq   +6357 path delay      2677
