ptp4l[7346664.276]: selected /dev/ptp0 as PTP clock
ptp4l[7346664.278]: port 1: INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[7346664.278]: port 0: INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[7346666.067]: port 1: new foreign master 507c6f.fffe.15e1cf-1
ptp4l[7346670.067]: selected best master clock 507c6f.fffe.15e1cf
ptp4l[7346670.067]: port 1: LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[7346908.068]: master offset          0 s2 freq  +10981 path delay      1463
ptp4l[7346909.067]: master offset          0 s2 freq  +10981 path delay      1463
ptp4l[7346910.068]: master offset          5 s2 freq  +10986 path delay      1463
ptp4l[7346911.067]: master offset         -2 s2 freq  +10981 path delay      1463
ptp4l[7346912.068]: master offset         -9 s2 freq  +10973 path delay      1464
ptp4l[7346913.067]: master offset          4 s2 freq  +10983 path delay      1463
ptp4l[7346914.067]: master offset        -11 s2 freq  +10970 path delay      1463
ptp4l[7346915.068]: master offset         -6 s2 freq  +10971 path delay      1462
ptp4l[7346916.068]: master offset          5 s2 freq  +10980 path delay      1462
ptp4l[7346917.068]: master offset         -9 s2 freq  +10968 path delay      1464
ptp4l[7346918.068]: master offset          7 s2 freq  +10981 path delay      1464
ptp4l[7346919.068]: master offset        -15 s2 freq  +10961 path delay      1465
ptp4l[7346920.068]: master offset          0 s2 freq  +10972 path delay      1464
ptp4l[7346921.068]: master offset         -3 s2 freq  +10969 path delay      1464
ptp4l[7346922.068]: master offset         -4 s2 freq  +10967 path delay      1463
ptp4l[7346923.068]: master offset         -3 s2 freq  +10967 path delay      1463
ptp4l[7346924.068]: master offset          8 s2 freq  +10977 path delay      1462
ptp4l[7346925.068]: master offset        -14 s2 freq  +10957 path delay      1466
ptp4l[7346926.068]: master offset         14 s2 freq  +10981 path delay      1464
ptp4l[7346927.068]: master offset        -15 s2 freq  +10956 path delay      1464
ptp4l[7346928.068]: master offset          7 s2 freq  +10974 path delay      1462
ptp4l[7346929.068]: master offset         -1 s2 freq  +10968 path delay      1464
ptp4l[7346930.068]: master offset         -3 s2 freq  +10966 path delay      1466
ptp4l[7346931.067]: master offset          4 s2 freq  +10972 path delay      1466
ptp4l[7346932.068]: master offset         -5 s2 freq  +10964 path delay      1466
ptp4l[7346933.067]: master offset          3 s2 freq  +10970 path delay      1466
ptp4l[7346934.068]: master offset          7 s2 freq  +10975 path delay      1464
ptp4l[7346935.068]: master offset         16 s2 freq  +10986 path delay      1463
ptp4l[7346936.068]: master offset         -1 s2 freq  +10974 path delay      1463
ptp4l[7346937.068]: master offset        -10 s2 freq  +10965 path delay      1465
ptp4l[7346938.068]: master offset          3 s2 freq  +10975 path delay      1463
ptp4l[7346939.068]: master offset         12 s2 freq  +10985 path delay      1463
ptp4l[7346940.068]: master offset        -12 s2 freq  +10964 path delay      1464
ptp4l[7346941.068]: master offset         -9 s2 freq  +10964 path delay      1463
ptp4l[7346942.068]: master offset          3 s2 freq  +10973 path delay      1462
ptp4l[7346943.068]: master offset          6 s2 freq  +10977 path delay      1462
ptp4l[7346944.068]: master offset         -2 s2 freq  +10971 path delay      1462
